what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1318819775558
error,log,,,"Core exception while retrieving the content description",1318819775561
error,log,,,"Core exception while retrieving the content description",1318819775563
error,log,,,"Core exception while retrieving the content description",1318819775566
error,log,,,"Core exception while retrieving the content description",1318819775570
error,log,,,"Core exception while retrieving the content description",1318819775575
error,log,,,"Core exception while retrieving the content description",1318819777375
error,log,,,"Core exception while retrieving the content description",1318819777380
error,log,,,"Core exception while retrieving the content description",1318819777385
error,log,,,"Core exception while retrieving the content description",1318819777389
error,log,,,"Core exception while retrieving the content description",1318819777825
error,log,,,"Core exception while retrieving the content description",1318819777862
error,log,,,"Core exception while retrieving the content description",1318819777866
error,log,,,"Core exception while retrieving the content description",1318819777868
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318819781286
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1318819782315
error,log,,,"Core exception while retrieving the content description",1318819782337
error,log,,,"Core exception while retrieving the content description",1318819782343
error,log,,,"Core exception while retrieving the content description",1318819782345
error,log,,,"Core exception while retrieving the content description",1318819782348
error,log,,,"Core exception while retrieving the content description",1318819782351
error,log,,,"Core exception while retrieving the content description",1318819782353
error,log,,,"Core exception while retrieving the content description",1318819782356
error,log,,,"Core exception while retrieving the content description",1318819782359
error,log,,,"Core exception while retrieving the content description",1318819782361
error,log,,,"Core exception while retrieving the content description",1318819782364
error,log,,,"Core exception while retrieving the content description",1318819782367
error,log,,,"Core exception while retrieving the content description",1318819783527
error,log,,,"Core exception while retrieving the content description",1318819783530
error,log,,,"Core exception while retrieving the content description",1318819783533
error,log,,,"Core exception while retrieving the content description",1318819783538
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318819784985
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318819786495
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1318819793173
executed,command,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.antShortcut.run",1318819798949
